1	zebra_finch	2	55447549	150231570
1	chicken	2	53904805	147952112
1	turkey	3	222461	88048101
1	human	5	158557	143578330
1	spotted_gar	LG9	6827	52994775
2	zebra_finch	2	33893	49685518
2	chicken	2	48630	47987169
2	human	7	135455	228378876
2	turkey	2	118372	83932588
2	spotted_gar	LG9	474373	42878613
3	zebra_finch	3	7702690	64563464
3	chicken	3	45077981	104122841
4	turkey	5	24669035	58963621
4	chicken	5	25125080	59267042
4	zebra_finch	5	25662040	61797651
4	human	15	24809454	105301001
4	spotted_gar	LG7	4471	36085141
5	human	6	52671113	170584637
5	chicken	3	40381495	88120096
5	zebra_finch	3	23906345	76966202
5	turkey	2	39674547	87073052
5	spotted_gar	LG16	682043	68812181
6	zebra_finch	1A	6738	45399456
6	chicken	1	1436603	48217392
6	turkey	1	978244	46470027
6	human	7	5364966	135648753
6	spotted_gar	LG8	1583988	49118040
7	turkey	16	51815	14866203
7	chicken	14	55332	15183450
8	zebra_finch	1	28596822	79344142
8	chicken	1	140207881	193443747
8	spotted_gar	LG3	482138	32589434
8	human	11	19633659	110712437
8	turkey	1	136235655	187222098
9	chicken	7	3711665	27887995
9	zebra_finch	7	74350	28823022
9	turkey	7	10001	18196967
9	human	2	45405165	240025342
9	spotted_gar	LG12	3448559	32449972
10	zebra_finch	6	11220086	35619471
10	chicken	6	12901097	36156082
10	turkey	8	1531827	28673826
10	human	10	47300197	132942570
10	spotted_gar	LG5	4452811	40249058
11	human	8	47260938	144685846
11	chicken	2	107542974	148760134
11	zebra_finch	2	150494924	150685629
12	zebra_finch	14	21392	16647380
12	chicken	14	952368	14509153
12	human	16	46407	99466167
12	spotted_gar	LG13	302859	16875899
12	turkey	16	240981	14327318
13	human	8	47260938	143578330
13	zebra_finch	2	109609613	150005651
14	zebra_finch	8	68534	22653733
14	human	1	43147904	109042102
14	chicken	8	822381	29471869
14	spotted_gar	LG10	26305	26685345
14	turkey	10	5396881	27727876
15	zebra_finch	Z	40610890	75398592
15	chicken	Z	2168882	41404232
15	turkey	Z	1649616	37119224
15	human	18	120837	86099558
15	spotted_gar	LG2	5736265	66263455
16	zebra_finch	1A	28483868	51723022
16	turkey	1	30820559	51818635
16	human	6	12785659	139423454
16	chicken	1	48230698	54291824
16	spotted_gar	LG12	33140411	36020491
17	turkey	8	9928673	31161731
17	chicken	6	11193369	32187115
17	zebra_finch	6	1230648	3130185
17	human	10	67921905	73131823
17	spotted_gar	LG5	15895729	18277558
18	chicken	20	381148	14095545
18	zebra_finch	20	165849	14963026
18	human	20	270863	64100633
18	turkey	22	103052	13676047
18	spotted_gar	LG18	292201	15671188
19	zebra_finch	5	25662040	54691097
19	turkey	5	24669035	52141221
20	zebra_finch	5	18226975	40124336
20	chicken	5	18267600	38721504
20	human	11	34621093	47573461
20	turkey	5	17816303	22704188
20	spotted_gar	LG27	1036169	19099284
21	zebra_finch	9	6899898	25555724
21	chicken	9	6237551	23667882
21	spotted_gar	LG14	6332	20293813
21	human	2	141368504	232569210
21	turkey	11	12484671	23675369
22	chicken	8	10802801	28808341
22	zebra_finch	8	1946550	21273435
23	turkey	14	150631	19504606
23	chicken	12	176993	20056211
23	zebra_finch	12	58669	20370888
23	human	3	196763	129893711
23	spotted_gar	LG5	20362767	51340437
24	turkey	19	119693	10205471
24	chicken	17	912147	10968111
24	zebra_finch	17	54142	11628221
24	spotted_gar	LG21	16089	15050508
24	human	9	113161006	138124619
25	zebra_finch	17	54142	11674821
25	chicken	17	951583	11051868
25	human	9	113151007	114333251
25	turkey	19	10223876	10283989
26	human	13	19633659	114327322
26	chicken	1	136910295	179114152
26	turkey	1	133098669	135634391
26	zebra_finch	1	87671488	90689157
26	spotted_gar	LG17	23661709	27645213
27	zebra_finch	19	94147	8141197
27	chicken	19	3027803	10287511
27	human	17	142789	102616756
27	spotted_gar	LG22	360140	10564384
27	turkey	21	156941	9307082
28	turkey	1	17142658	46470027
28	chicken	1	17271368	48197399
29	zebra_finch	17	54142	11575783
29	turkey	19	164120	10155042
30	human	6	52671113	135497740
30	zebra_finch	3	23906345	56672163
31	zebra_finch	4	6188179	31871806
31	chicken	4	60580166	85165884
31	spotted_gar	LG4	4539655	73191564
31	human	2	1011626	186723856
31	turkey	4	40457996	60617182
32	turkey	8	11482985	31161731
32	zebra_finch	6	11220086	31005987
33	zebra_finch	1A	45311045	64043687
33	chicken	1	48108531	59899791
33	human	12	29500840	149886682
33	spotted_gar	LG8	93790	49619385
33	turkey	1	62278962	65688134
34	turkey	3	33141328	88433318
34	zebra_finch	2	90833017	147494215
35	zebra_finch	13	7561115	18255511
35	chicken	13	7459755	17856289
35	human	5	131423921	180649600
35	turkey	15	7061135	16146125
35	spotted_gar	LG6	20636905	39579284
36	turkey	4	30452861	58804290
36	chicken	4	50527674	78582434
37	chicken	10	4134364	19660529
37	zebra_finch	10	4683673	21187997
37	human	15	28885974	101489707
37	spotted_gar	LG3	37261577	53916623
37	turkey	12	8344964	18881968
38	turkey	6	26334371	50658240
38	chicken	2	27175784	52137406
38	human	7	31337465	55572502
38	zebra_finch	2	51676258	55275034
38	spotted_gar	LG9	33443617	37281873
39	turkey	1	76373653	104185204
39	chicken	1	78282018	106723182
39	human	12	10179032	169586481
39	zebra_finch	1A	34955	113873708
39	spotted_gar	LG17	197324	31658331
40	chicken	9	12887824	23667882
40	turkey	11	12484671	23675369
41	chicken	7	144883	15927519
41	turkey	7	10001	15767016
41	human	2	44885953	235055714
41	zebra_finch	7	24838320	26848160
41	spotted_gar	LG12	12842602	19144495
42	chicken	8	18217480	29519527
42	turkey	10	17463079	28756169
43	zebra_finch	15	5769981	14326282
