# orthogroupId	speciesId
OG0001365	dog
OG0001365	zebra_finch
OG0001365	green_anole
OG0001365	amphioxus
OG0001365	turkey
OG0001365	opossum
OG0001365	medaka
OG0001365	mouse
OG0001365	stickleback
OG0001365	chicken
OG0001365	zebrafish
OG0001365	pufferfish
OG0001365	spotted_gar
OG0001365	human
OG0001365	elephant_shark
OG0002192	dog
OG0002192	zebra_finch
OG0002192	green_anole
OG0002192	amphioxus
OG0002192	turkey
OG0002192	human
OG0002192	medaka
OG0002192	mouse
OG0002192	stickleback
OG0002192	chicken
OG0002192	zebrafish
OG0002192	pufferfish
OG0002192	spotted_gar
OG0002192	opossum
OG0002192	elephant_shark
OG0001424	dog
OG0001424	zebra_finch
OG0001424	green_anole
OG0001424	amphioxus
OG0001424	turkey
OG0001424	opossum
OG0001424	medaka
OG0001424	mouse
OG0001424	pufferfish
OG0001424	chicken
OG0001424	zebrafish
OG0001424	stickleback
OG0001424	spotted_gar
OG0001424	human
OG0001424	elephant_shark
OG0001293	dog
OG0001293	zebra_finch
OG0001293	green_anole
OG0001293	amphioxus
OG0001293	turkey
OG0001293	human
OG0001293	medaka
OG0001293	mouse
OG0001293	pufferfish
OG0001293	chicken
OG0001293	zebrafish
OG0001293	stickleback
OG0001293	spotted_gar
OG0001293	opossum
OG0001293	elephant_shark
OG0003740	dog
OG0003740	zebra_finch
OG0003740	green_anole
OG0003740	amphioxus
OG0003740	turkey
OG0003740	human
OG0003740	medaka
OG0003740	mouse
OG0003740	pufferfish
OG0003740	chicken
OG0003740	zebrafish
OG0003740	stickleback
OG0003740	spotted_gar
OG0003740	opossum
OG0003740	elephant_shark
OG0003344	dog
OG0003344	zebra_finch
OG0003344	green_anole
OG0003344	amphioxus
OG0003344	turkey
OG0003344	human
OG0003344	medaka
OG0003344	mouse
OG0003344	pufferfish
OG0003344	chicken
OG0003344	zebrafish
OG0003344	stickleback
OG0003344	spotted_gar
OG0003344	opossum
OG0003344	elephant_shark
OG0001442	dog
OG0001442	zebra_finch
OG0001442	green_anole
OG0001442	amphioxus
OG0001442	turkey
OG0001442	human
OG0001442	medaka
OG0001442	mouse
OG0001442	pufferfish
OG0001442	chicken
OG0001442	zebrafish
OG0001442	stickleback
OG0001442	spotted_gar
OG0001442	opossum
OG0001442	elephant_shark
OG0001727	spotted_gar
OG0001727	zebra_finch
OG0001727	green_anole
OG0001727	amphioxus
OG0001727	turkey
OG0001727	opossum
OG0001727	medaka
OG0001727	mouse
OG0001727	stickleback
OG0001727	chicken
OG0001727	zebrafish
OG0001727	pufferfish
OG0001727	dog
OG0001727	human
OG0001727	elephant_shark
OG0003167	dog
OG0003167	zebra_finch
OG0003167	green_anole
OG0003167	amphioxus
OG0003167	turkey
OG0003167	human
OG0003167	medaka
OG0003167	mouse
OG0003167	stickleback
OG0003167	chicken
OG0003167	zebrafish
OG0003167	pufferfish
OG0003167	spotted_gar
OG0003167	opossum
OG0003167	elephant_shark
OG0003490	spotted_gar
OG0003490	zebra_finch
OG0003490	green_anole
OG0003490	amphioxus
OG0003490	turkey
OG0003490	opossum
OG0003490	medaka
OG0003490	mouse
OG0003490	pufferfish
OG0003490	chicken
OG0003490	zebrafish
OG0003490	stickleback
OG0003490	dog
OG0003490	human
OG0003490	elephant_shark
OG0000920	dog
OG0000920	zebra_finch
OG0000920	green_anole
OG0000920	amphioxus
OG0000920	turkey
OG0000920	human
OG0000920	medaka
OG0000920	mouse
OG0000920	stickleback
OG0000920	chicken
OG0000920	zebrafish
OG0000920	pufferfish
OG0000920	spotted_gar
OG0000920	opossum
OG0000920	elephant_shark
OG0001160	dog
OG0001160	zebra_finch
OG0001160	green_anole
OG0001160	amphioxus
OG0001160	turkey
OG0001160	opossum
OG0001160	medaka
OG0001160	mouse
OG0001160	pufferfish
OG0001160	chicken
OG0001160	zebrafish
OG0001160	stickleback
OG0001160	spotted_gar
OG0001160	human
OG0001160	elephant_shark
OG0003463	dog
OG0003463	zebra_finch
OG0003463	green_anole
OG0003463	amphioxus
OG0003463	turkey
OG0003463	human
OG0003463	medaka
OG0003463	mouse
OG0003463	chicken
OG0003463	zebrafish
OG0003463	spotted_gar
OG0003463	opossum
OG0003463	elephant_shark
OG0001694	dog
OG0001694	zebra_finch
OG0001694	green_anole
OG0001694	amphioxus
OG0001694	turkey
OG0001694	human
OG0001694	medaka
OG0001694	mouse
OG0001694	stickleback
OG0001694	chicken
OG0001694	zebrafish
OG0001694	pufferfish
OG0001694	spotted_gar
OG0001694	opossum
OG0001694	elephant_shark
OG0000825	spotted_gar
OG0000825	zebra_finch
OG0000825	green_anole
OG0000825	amphioxus
OG0000825	turkey
OG0000825	opossum
OG0000825	medaka
OG0000825	mouse
OG0000825	pufferfish
OG0000825	chicken
OG0000825	zebrafish
OG0000825	stickleback
OG0000825	dog
OG0000825	human
OG0000825	elephant_shark
OG0002557	dog
OG0002557	zebra_finch
OG0002557	green_anole
OG0002557	amphioxus
OG0002557	turkey
OG0002557	human
OG0002557	medaka
OG0002557	mouse
OG0002557	stickleback
OG0002557	chicken
OG0002557	zebrafish
OG0002557	pufferfish
OG0002557	spotted_gar
OG0002557	opossum
OG0002557	elephant_shark
OG0001544	dog
OG0001544	zebra_finch
OG0001544	green_anole
OG0001544	amphioxus
OG0001544	turkey
OG0001544	human
OG0001544	medaka
OG0001544	mouse
OG0001544	stickleback
OG0001544	chicken
OG0001544	zebrafish
OG0001544	pufferfish
OG0001544	spotted_gar
OG0001544	opossum
OG0001544	elephant_shark
OG0002522	dog
OG0002522	zebra_finch
OG0002522	green_anole
OG0002522	amphioxus
OG0002522	turkey
OG0002522	opossum
OG0002522	medaka
OG0002522	mouse
OG0002522	pufferfish
OG0002522	chicken
OG0002522	zebrafish
