amphioxus	NC_049979.1	209	35269867
amphioxus	NC_049980.1	4905	35134533
amphioxus	NC_049981.1	5671	34238951
amphioxus	NC_049982.1	139	34242545
amphioxus	NC_049983.1	17	29544937
amphioxus	NC_049984.1	18280	28085650
amphioxus	NC_049985.1	25669	25940832
amphioxus	NC_049986.1	13847	25570490
amphioxus	NC_049987.1	16185	25438888
amphioxus	NC_049988.1	10544	23925848
amphioxus	NC_049989.1	2246	23529080
amphioxus	NC_049990.1	467	22971680
amphioxus	NC_049991.1	50236	22406931
amphioxus	NC_049992.1	4892	21813864
amphioxus	NC_049993.1	38175	21508210
amphioxus	NC_049994.1	115	19138300
amphioxus	NC_049995.1	4676	19116653
amphioxus	NC_049996.1	1561	18548746
amphioxus	NC_049997.1	3631	17101336
amphioxus	NW_023365578.1	847	3719
amphioxus	NW_023365581.1	118	1634
amphioxus	NW_023365582.1	10202	20272
amphioxus	NW_023365584.1	243	1539
amphioxus	NW_023365588.1	189	1766
amphioxus	NW_023365590.1	6	5780
amphioxus	NW_023365592.1	18	45922
amphioxus	NW_023365596.1	1595	2975
amphioxus	NW_023365605.1	219	1410
amphioxus	NW_023365618.1	631	134325
amphioxus	NW_023365626.1	97	946
amphioxus	NW_023365632.1	64	1160
amphioxus	NW_023365633.1	19	171002
amphioxus	NW_023365659.1	6	759
amphioxus	NW_023365676.1	17	702
amphioxus	NW_023365693.1	12065	220845
amphioxus	NW_023365694.1	12371	124686
amphioxus	NW_023365695.1	10312	214262
amphioxus	NW_023365696.1	13533	23474
amphioxus	NW_023365697.1	6080	35881
amphioxus	NW_023365698.1	7873	108778
amphioxus	NW_023365699.1	8774	99327
amphioxus	NW_023365700.1	27458	50952
amphioxus	NW_023365701.1	3413	491096
amphioxus	NW_023365702.1	4866	242880
amphioxus	NW_023365703.1	82539	413065
amphioxus	NW_023365704.1	1493	302179
amphioxus	NW_023365705.1	6190	122253
amphioxus	NW_023365706.1	334	439421
amphioxus	NW_023365707.1	199	159016
amphioxus	NW_023365708.1	21405	61944
amphioxus	NW_023365710.1	84	119717
amphioxus	NW_023365711.1	78922	100243
amphioxus	NW_023365712.1	46027	55650
amphioxus	NW_023365713.1	5602	121855
amphioxus	NW_023365714.1	2628	913216
amphioxus	NW_023365716.1	1093	1655882
amphioxus	NW_023365717.1	8049	25504
amphioxus	NW_023365718.1	18719	56329
amphioxus	NW_023365721.1	9566	115317
amphioxus	NW_023365722.1	85	236471
amphioxus	NW_023365723.1	335201	439189
amphioxus	NW_023365724.1	27653	334797
amphioxus	NW_023365725.1	7401	118336
amphioxus	NW_023365726.1	7022	58943
amphioxus	NW_023365727.1	705	100163
amphioxus	NW_023365728.1	6204	285159
amphioxus	NW_023365729.1	5885	476975
amphioxus	NW_023365730.1	52642	813877
amphioxus	NW_023365731.1	14466	145703
amphioxus	NW_023365732.1	39736	461061
amphioxus	NW_023365733.1	720	140618
amphioxus	NW_023365734.1	25412	338124
amphioxus	NW_023365735.1	11	155210
amphioxus	NW_023365736.1	56561	58644
amphioxus	NW_023365737.1	8243	59993
amphioxus	NW_023365738.1	20740	228769
amphioxus	NW_023365739.1	1397	31398
amphioxus	NW_023365740.1	545	21421
amphioxus	NW_023365741.1	4955	118742
amphioxus	NW_023365742.1	37	139635
amphioxus	NW_023365744.1	17643	45120
amphioxus	NW_023365745.1	11351	45322
amphioxus	NW_023365746.1	12062	69439
amphioxus	NW_023365747.1	760	29751
amphioxus	NW_023365749.1	4689	342199
amphioxus	NW_023365750.1	17725	370733
amphioxus	NW_023365751.1	122451	236716
amphioxus	NW_023365752.1	17335	30914
amphioxus	NW_023365753.1	40017	70894
amphioxus	NW_023365754.1	12	307636
amphioxus	NW_023365756.1	147	177895
amphioxus	NW_023365757.1	152	359703
amphioxus	NW_023365758.1	16756	653594
amphioxus	NW_023365759.1	938	91222
amphioxus	NW_023365760.1	1775	23692
amphioxus	NW_023365761.1	402	119561
